name,default_unit,default_quantity,kcal_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,kcal_per_unit,protein_per_unit,carbs_per_unit,fat_per_unit
Aguacate,g,100.0,160.0,2.0,9.0,15.0,240.0,3.0,13.5,22.5
Arándanos,g,100.0,57.0,0.7,14.5,0.3,29.0,0.35,7.25,0.15
Chía (semillas),g,15.0,486.0,16.5,42.0,30.7,73.0,2.5,6.3,4.6
Jamón cocido,g,100.0,116.0,20.0,1.5,3.5,23.0,4.0,0.3,0.7
Leche entera,ml,100.0,61.0,3.2,4.7,3.3,122.0,6.4,9.4,6.6
Pan (blanco),g,100.0,265.0,9.0,49.0,3.2,80.0,2.7,14.8,1.0
Plátano,g,120.0,89.0,1.1,22.8,0.3,107.0,1.32,27.36,0.36
Queso Havarti,g,100.0,371.0,21.0,3.7,31.0,74.0,4.2,0.7,6.2
Quinoa inflada,g,30.0,380.0,13.0,69.0,6.4,114.0,3.9,20.7,1.9
Yogur griego natural,g,150.0,97.0,9.0,3.8,5.0,146.0,13.5,5.7,7.5
